graph_type,num_nodes,num_edges,nodes,edges,ratio_n_m,ratio_m_n,density,starting_node,target_node,path_length,min_degree,max_degree,mean_degree,median_degree,q0.25_degree,q0.75_degree,variation_coefficient_degree,entropy_degree,astar_alg_avg_duration,astar_alg_median_duration,astar_alg_std_duration,astar_alg_avg_memory_used,astar_alg_median_memory_used,astar_alg_std_memory_used,dijkstra_alg_avg_duration,dijkstra_alg_median_duration,dijkstra_alg_std_duration,dijkstra_alg_avg_memory_used,dijkstra_alg_median_memory_used,dijkstra_alg_std_memory_used,bfs_alg_avg_duration,bfs_alg_median_duration,bfs_alg_std_duration,bfs_alg_avg_memory_used,bfs_alg_median_memory_used,bfs_alg_std_memory_used,dfs_alg_avg_duration,dfs_alg_median_duration,dfs_alg_std_duration,dfs_alg_avg_memory_used,dfs_alg_median_memory_used,dfs_alg_std_memory_used
generate_random_graph,3031,660337,3031,660337,0.00459008051949232,217.86110194655228,0.14380270755548005,2645,2089,2,367,506,435.72220389310456,436.0,423.0,449.0,0.044793501805934,6.300256837255302,7.222738700002083,7.222905499991612,0.01172687209079804,120486367.66666667,1687723,168019654.09783244,8.950082000000597,8.954428500001086,0.033376200805513435,55687389.333333336,1610711,76526544.09606065,4.65235456667142,4.643097599997418,0.01792331845359407,54842670.0,282675,77228927.52484247,4.426801466664377,4.417461300006835,0.03784776993978382,54797041.333333336,294259,77155967.00629906
generate_delaunay_graph,3032,9073,3032,9073,0.334178331312686,2.9924142480211082,0.0019745392596642085,2017,559,24,3,12,5.9848284960422165,6.0,5.0,7.0,0.22730841712598612,2.4579442880361877,0.07449920000120376,0.07389770000008866,0.0009328578360440521,26006039.0,53995,36701738.2529577,6.658103166662234,6.646512699997402,0.01643497217204376,24854433.333333332,329711,34683200.59408874,0.21784173332950255,0.21802539999771398,0.0003672316030684689,24672996.666666668,57475,34811627.21330822,5.969905299997966,5.97299729999213,0.014612804161208753,24808962.666666668,269147,34715198.19264855
generate_dense_random_graph,3033,417210,3033,417210,0.007269720284748688,137.55687438180018,0.09073672452625343,880,1633,2,216,335,275.11374876360037,275.0,264.0,286.0,0.05747642031909656,6.001702153480445,5.402617033333324,5.4110178999981144,0.02218435792089401,78576732.33333333,1594523,108973177.81836161,7.5813698999991175,7.588154900004156,0.02254164418670279,35553538.666666664,1596151,48128067.19562242,3.553701466672161,3.5553790999983903,0.004677105020989617,34658024.666666664,178531,48761401.50828667,3.0311272666682876,3.0337882000021636,0.010975269930716985,34658142.666666664,178923,48761014.01377058
generate_dense_random_graph,3034,916591,3034,916591,0.003310091414818605,302.10646011865526,0.19921296414022766,2372,1851,1,526,685,604.2129202373105,604.0,589.0,619.0,0.03635741360574199,6.470837753728411,4.147055699994477,4.159453799991752,0.02014550419461627,169204061.33333334,1758243,236909265.03086612,9.28103476666729,9.291680800000904,0.015953861665455163,76984513.33333333,1749719,106404622.86995511,0.7434543666652947,0.7435776999918744,0.00106136030923476,75949180.66666667,192003,107136862.04443543,5.544844633332104,5.545688600002904,0.016451190481719346,76025778.66666667,273843,107187668.69966346
generate_random_graph,3035,746017,3035,746017,0.004068271902651012,245.80461285008238,0.16203336377724611,288,686,2,427,558,491.60922570016476,492.0,478.0,505.0,0.04135705023682906,6.360622627459639,7.163746900002782,7.154561300005298,0.020687486356290273,133510612.33333333,1716811,186489621.95403484,8.659915333337267,8.66955350000353,0.021946382052220104,62861365.333333336,1716703,86478953.43924446,2.0871652666586065,2.0881818999914685,0.0016401561492773084,61888568.666666664,316835,87166988.91782811,2.911496566661905,2.898771599997417,0.030067601641208207,61886724.0,311995,87167988.12721549
generate_dense_random_graph,3036,297229,3036,297229,0.010214346513967345,97.90151515151516,0.0645150017472917,2081,102,2,147,246,195.8030303030303,196.0,187.0,204.25,0.06817803499012066,5.7544536406842886,4.649012333330272,4.656887099990854,0.011533703365191236,61260100.333333336,1491267,84630766.15062134,7.2113728666687775,7.221402499999385,0.019429613367977865,27997817.333333332,1492039,37488853.29554402,1.5253879000035038,1.5209780000004685,0.0069166918658011235,27121290.0,174323,38108800.13735077,5.389488366670169,5.388741400005529,0.00820830918299743,27140413.333333332,231091,38094980.6499796
generate_random_graph,3037,882842,3037,882842,0.0034400266412336522,290.695423114916,0.19149896120877208,2783,614,2,506,648,581.390846229832,581.0,567.0,595.0,0.037315624884139746,6.452535152191026,2.938037900006748,2.941488800002844,0.01404372300881719,154341370.66666666,1748443,215904213.86346942,9.117576266668038,9.114495100002387,0.012908615249525069,74197514.66666667,1751751,102457119.0760033,2.445226666663075,2.439851799994358,0.00808226823411639,73158552.66666667,190867,103191924.62590425,1.6840938333334634,1.6875900000013644,0.005009662975198296,73207532.66666667,338299,103156965.86857988
generate_2d_grid_graph,3038,5965,3038,5965,0.5093042749371333,1.9634628044766294,0.0012930278593853337,1244,2554,29,2,4,3.9269256089532587,4.0,4.0,4.0,0.06755141070688152,0.3819259120936551,2.8023318333289353,2.805362699989928,0.009996191610080895,26625836.333333332,253459,37401174.39795071,6.1860491666690605,6.19021359999897,0.03081073450778956,24939163.666666668,333207,34798083.29001907,2.075308466674566,2.0748680000106106,0.001207707183904387,24764266.0,85923,34900469.99491458,5.613122366664659,5.614322800000082,0.017692585114711435,24908105.0,302683,34902274.75302804
generate_delaunay_graph,3039,9094,3039,9094,0.33417638003078953,2.9924317209608424,0.0019700011329564465,1232,2458,15,3,12,5.984863441921685,6.0,5.0,7.0,0.22744944429440503,2.458119294686756,0.08642356666678097,0.08681540000543464,0.0005781292414674441,26121273.666666668,55779,36862181.72441797,6.352018366664804,6.3561160000099335,0.022804510527955787,24950534.333333332,329279,34924887.27217413,0.22595906667023277,0.22692950000055134,0.0014189674549493977,24786531.333333332,57523,34972121.59645673,5.8927457000002805,5.910198700003093,0.03605044923344399,24929100.0,278859,34871023.74895928
generate_dense_random_graph,3040,796793,3040,796793,0.003815294562075721,262.10296052631577,0.17249289932630194,2767,2190,2,455,599,524.2059210526315,524.0,510.75,538.0,0.03900379910381868,6.363117417417289,5.2036488666635705,5.195285599998897,0.020564271284541785,149729766.66666666,1716907,209425469.60992876,8.885827633333975,8.91402840000228,0.043278834342987064,67063705.333333336,1718575,92412116.63068703,1.7582156666709732,1.7598908000072697,0.008030955719466626,66092010.0,332787,93099064.78465757,4.528049233330724,4.529657699997188,0.002334863385669899,66043642.666666664,188731,93132943.16900973
